variety,location,block,yield_tha
E1,Elora,1,9.5
E1,Elora,2,9.5
E1,Elora,3,9.3
E1,Elora,4,9.7
E2,Elora,1,9.3
E2,Elora,2,10
E2,Elora,3,9.4
E2,Elora,4,10.3
E3,Elora,1,9.3
E3,Elora,2,10.2
E3,Elora,3,9.1
E3,Elora,4,10.7
L1,Elora,1,7.8
L1,Elora,2,7.6
L1,Elora,3,8.4
L1,Elora,4,9.3
L2,Elora,1,8.8
L2,Elora,2,8.7
L2,Elora,3,9.3
L2,Elora,4,11.1
L3,Elora,1,7.9
L3,Elora,2,9
L3,Elora,3,8.6
L3,Elora,4,7.5
L4,Elora,1,9.4
L4,Elora,2,9.3
L4,Elora,3,9.6
L4,Elora,4,10.2
