family,block,plant,seed_g
L64,3,3,0.04
L64,3,4,0.01
L66,3,1,0.89
L66,3,2,0.15
L66,3,3,1.05
L66,3,4,1.97
L66,3,5,1.02
L72,3,1,0.25
L72,3,2,0.35
L72,3,3,1.02
L72,3,4,1.45
L72,3,5,0.77
L81,3,1,0.4
L81,3,2,0.92
L81,3,3,2.51
L81,3,4,0.07
L81,3,5,1.33
L89,3,1,5.01
L89,3,2,1
L89,3,3,7.77
L89,3,4,0.35
L89,3,5,3.53
L91,3,2,7.05
L91,3,3,0.09
L91,3,4,0.95
L91,3,5,2.02
